Task: x3xy2y mod 113
Model: mlp  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep  21900 | loss 0.0000/18.9878 | acc 1.000/0.009 | pre
Ep  22000 | loss 0.0000/18.9843 | acc 1.000/0.009 | pre
Ep  22100 | loss 0.0000/18.9803 | acc 1.000/0.009 | pre
Ep  22200 | loss 0.0000/18.9764 | acc 1.000/0.009 | pre
Ep  22300 | loss 0.0000/18.9719 | acc 1.000/0.009 | pre
Ep  22400 | loss 0.0000/18.9671 | acc 1.000/0.009 | pre
Ep  22500 | loss 0.0000/18.9624 | acc 1.000/0.009 | pre
Ep  22600 | loss 0.0000/18.9580 | acc 1.000/0.009 | pre
Ep  22700 | loss 0.0000/18.9536 | acc 1.000/0.009 | pre
Ep  22800 | loss 0.0000/18.9499 | acc 1.000/0.009 | pre
Ep  22900 | loss 0.0000/18.9465 | acc 1.000/0.009 | pre
Ep  23000 | loss 0.0000/18.9431 | acc 1.000/0.009 | pre
Ep  23100 | loss 0.0000/18.9402 | acc 1.000/0.008 | pre
Ep  23200 | loss 0.0000/18.9369 | acc 1.000/0.008 | pre
Ep  23300 | loss 0.0000/18.9325 | acc 1.000/0.008 | pre
Ep  23400 | loss 0.0000/18.9279 | acc 1.000/0.008 | pre
Ep  23500 | loss 0.0000/18.9236 | acc 1.000/0.008 | pre
Ep  23600 | loss 0.0000/18.9192 | acc 1.000/0.008 | pre
Ep  23700 | loss 0.0000/18.9156 | acc 1.000/0.008 | pre
Ep  23800 | loss 0.0000/18.9118 | acc 1.000/0.008 | pre
Ep  23900 | loss 0.0000/18.9084 | acc 1.000/0.008 | pre
Ep  24000 | loss 0.0000/18.9052 | acc 1.000/0.008 | pre
Ep  24100 | loss 0.0000/18.9018 | acc 1.000/0.008 | pre
Ep  24200 | loss 0.0000/18.8982 | acc 1.000/0.008 | pre
Ep  24300 | loss 0.0000/18.8949 | acc 1.000/0.008 | pre
Ep  24400 | loss 0.0000/18.8906 | acc 1.000/0.008 | pre
Ep  24500 | loss 0.0000/18.8861 | acc 1.000/0.008 | pre
