Task: x3xy2y mod 113
Model: mlp  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep  12600 | loss 0.0000/19.4735 | acc 1.000/0.008 | pre
Ep  12700 | loss 0.0000/19.4664 | acc 1.000/0.008 | pre
Ep  12800 | loss 0.0000/19.4597 | acc 1.000/0.008 | pre
Ep  12900 | loss 0.0000/19.4527 | acc 1.000/0.008 | pre
Ep  13000 | loss 0.0000/19.4463 | acc 1.000/0.008 | pre
Ep  13100 | loss 0.0000/19.4393 | acc 1.000/0.008 | pre
Ep  13200 | loss 0.0000/19.4338 | acc 1.000/0.008 | pre
Ep  13300 | loss 0.0000/19.4285 | acc 1.000/0.008 | pre
Ep  13400 | loss 0.0000/19.4241 | acc 1.000/0.008 | pre
Ep  13500 | loss 0.0000/19.4193 | acc 1.000/0.008 | pre
Ep  13600 | loss 0.0000/19.4127 | acc 1.000/0.008 | pre
Ep  13700 | loss 0.0000/19.4063 | acc 1.000/0.008 | pre
Ep  13800 | loss 0.0000/19.3990 | acc 1.000/0.008 | pre
Ep  13900 | loss 0.0000/19.3921 | acc 1.000/0.008 | pre
Ep  14000 | loss 0.0000/19.3866 | acc 1.000/0.007 | pre
Ep  14100 | loss 0.0000/19.3804 | acc 1.000/0.007 | pre
Ep  14200 | loss 0.0000/19.3739 | acc 1.000/0.007 | pre
Ep  14300 | loss 0.0000/19.3678 | acc 1.000/0.007 | pre
Ep  14400 | loss 0.0000/19.3628 | acc 1.000/0.007 | pre
Ep  14500 | loss 0.0000/19.3585 | acc 1.000/0.008 | pre
Ep  14600 | loss 0.0000/19.3538 | acc 1.000/0.008 | pre
Ep  14700 | loss 0.0000/19.3483 | acc 1.000/0.008 | pre
Ep  14800 | loss 0.0000/19.3439 | acc 1.000/0.008 | pre
Ep  14900 | loss 0.0000/19.3413 | acc 1.000/0.008 | pre
Ep  15000 | loss 0.0000/19.3371 | acc 1.000/0.008 | pre
Ep  15100 | loss 0.0000/19.3322 | acc 1.000/0.008 | pre
Ep  15200 | loss 0.0000/19.3266 | acc 1.000/0.008 | pre
Ep  15300 | loss 0.0000/19.3212 | acc 1.000/0.008 | pre
Ep  15400 | loss 0.0000/19.3155 | acc 1.000/0.008 | pre
Ep  15500 | loss 0.0000/19.3082 | acc 1.000/0.008 | pre
Ep  15600 | loss 0.0000/19.3013 | acc 1.000/0.008 | pre
Ep  15700 | loss 0.0000/19.2969 | acc 1.000/0.008 | pre
Ep  15800 | loss 0.0000/19.2922 | acc 1.000/0.008 | pre
Ep  15900 | loss 0.0000/19.2866 | acc 1.000/0.008 | pre
Ep  16000 | loss 0.0000/19.2813 | acc 1.000/0.008 | pre
Ep  16100 | loss 0.0000/19.2750 | acc 1.000/0.008 | pre
Ep  16200 | loss 0.0000/19.2691 | acc 1.000/0.008 | pre
Ep  16300 | loss 0.0000/19.2637 | acc 1.000/0.008 | pre
Ep  16400 | loss 0.0000/19.2589 | acc 1.000/0.008 | pre
Ep  16500 | loss 0.0000/19.2540 | acc 1.000/0.008 | pre
Ep  16600 | loss 0.0000/19.2490 | acc 1.000/0.008 | pre
Ep  16700 | loss 0.0000/19.2433 | acc 1.000/0.008 | pre
Ep  16800 | loss 0.0000/19.2376 | acc 1.000/0.008 | pre
Ep  16900 | loss 0.0000/19.2324 | acc 1.000/0.008 | pre
Ep  17000 | loss 0.0000/19.2271 | acc 1.000/0.008 | pre
Ep  17100 | loss 0.0000/19.2218 | acc 1.000/0.008 | pre
Ep  17200 | loss 0.0000/19.2165 | acc 1.000/0.008 | pre
Ep  17300 | loss 0.0000/19.2104 | acc 1.000/0.008 | pre
Ep  17400 | loss 0.0000/19.2046 | acc 1.000/0.008 | pre
Ep  17500 | loss 0.0000/19.1996 | acc 1.000/0.008 | pre
Ep  17600 | loss 0.0000/19.1943 | acc 1.000/0.008 | pre
Ep  17700 | loss 0.0000/19.1886 | acc 1.000/0.008 | pre
Ep  17800 | loss 0.0000/19.1835 | acc 1.000/0.008 | pre
Ep  17900 | loss 0.0000/19.1783 | acc 1.000/0.008 | pre
Ep  18000 | loss 0.0000/19.1734 | acc 1.000/0.008 | pre
Ep  18100 | loss 0.0000/19.1687 | acc 1.000/0.008 | pre
Ep  18200 | loss 0.0000/19.1640 | acc 1.000/0.008 | pre
Ep  18300 | loss 0.0000/19.1603 | acc 1.000/0.008 | pre
Ep  18400 | loss 0.0000/19.1561 | acc 1.000/0.008 | pre
Ep  18500 | loss 0.0000/19.1525 | acc 1.000/0.008 | pre
Ep  18600 | loss 0.0000/19.1474 | acc 1.000/0.008 | pre
Ep  18700 | loss 0.0000/19.1431 | acc 1.000/0.008 | pre
Ep  18800 | loss 0.0000/19.1384 | acc 1.000/0.008 | pre
Ep  18900 | loss 0.0000/19.1331 | acc 1.000/0.008 | pre
Ep  19000 | loss 0.0000/19.1282 | acc 1.000/0.008 | pre
Ep  19100 | loss 0.0000/19.1241 | acc 1.000/0.008 | pre
Ep  19200 | loss 0.0000/19.1205 | acc 1.000/0.008 | pre
Ep  19300 | loss 0.0000/19.1173 | acc 1.000/0.008 | pre
Ep  19400 | loss 0.0000/19.1135 | acc 1.000/0.008 | pre
Ep  19500 | loss 0.0000/19.1099 | acc 1.000/0.008 | pre
Ep  19600 | loss 0.0000/19.1049 | acc 1.000/0.008 | pre
Ep  19700 | loss 0.0000/19.1005 | acc 1.000/0.008 | pre
Ep  19800 | loss 0.0000/19.0958 | acc 1.000/0.008 | pre
Ep  19900 | loss 0.0000/19.0916 | acc 1.000/0.008 | pre
Ep  20000 | loss 0.0000/19.0870 | acc 1.000/0.009 | pre
Ep  20100 | loss 0.0000/19.0819 | acc 1.000/0.008 | pre
Ep  20200 | loss 0.0000/19.0766 | acc 1.000/0.008 | pre
Ep  20300 | loss 0.0000/19.0716 | acc 1.000/0.008 | pre
Ep  20400 | loss 0.0000/19.0670 | acc 1.000/0.008 | pre
Ep  20500 | loss 0.0000/19.0640 | acc 1.000/0.008 | pre
Ep  20600 | loss 0.0000/19.0606 | acc 1.000/0.008 | pre
Ep  20700 | loss 0.0000/19.0567 | acc 1.000/0.008 | pre
Ep  20800 | loss 0.0000/19.0522 | acc 1.000/0.008 | pre
Ep  20900 | loss 0.0000/19.0479 | acc 1.000/0.008 | pre
Ep  21000 | loss 0.0000/19.0437 | acc 1.000/0.008 | pre
Ep  21100 | loss 0.0000/19.0400 | acc 1.000/0.008 | pre
Ep  21200 | loss 0.0000/19.0359 | acc 1.000/0.008 | pre
Ep  21300 | loss 0.0000/19.0327 | acc 1.000/0.008 | pre
Ep  21400 | loss 0.0000/19.0293 | acc 1.000/0.008 | pre
Ep  21500 | loss 0.0000/19.0256 | acc 1.000/0.008 | pre
Ep  21600 | loss 0.0000/19.0229 | acc 1.000/0.008 | pre
Ep  21700 | loss 0.0000/19.0194 | acc 1.000/0.008 | pre
Ep  21800 | loss 0.0000/19.0164 | acc 1.000/0.008 | pre
Ep  21900 | loss 0.0000/19.0135 | acc 1.000/0.008 | pre
Ep  22000 | loss 0.0000/19.0106 | acc 1.000/0.008 | pre
Ep  22100 | loss 0.0000/19.0078 | acc 1.000/0.008 | pre
Ep  22200 | loss 0.0000/19.0045 | acc 1.000/0.008 | pre
Ep  22300 | loss 0.0000/19.0013 | acc 1.000/0.008 | pre
Ep  22400 | loss 0.0000/18.9986 | acc 1.000/0.008 | pre
Ep  22500 | loss 0.0000/18.9958 | acc 1.000/0.008 | pre
Ep  22600 | loss 0.0000/18.9925 | acc 1.000/0.008 | pre
Ep  22700 | loss 0.0000/18.9898 | acc 1.000/0.008 | pre
Ep  22800 | loss 0.0000/18.9874 | acc 1.000/0.008 | pre
Ep  22900 | loss 0.0000/18.9839 | acc 1.000/0.008 | pre
Ep  23000 | loss 0.0000/18.9802 | acc 1.000/0.008 | pre
Ep  23100 | loss 0.0000/18.9764 | acc 1.000/0.008 | pre
Ep  23200 | loss 0.0000/18.9727 | acc 1.000/0.008 | pre
Ep  23300 | loss 0.0000/18.9690 | acc 1.000/0.008 | pre
Ep  23400 | loss 0.0000/18.9657 | acc 1.000/0.008 | pre
Ep  23500 | loss 0.0000/18.9624 | acc 1.000/0.008 | pre
Ep  23600 | loss 0.0000/18.9582 | acc 1.000/0.008 | pre
Ep  23700 | loss 0.0000/18.9539 | acc 1.000/0.008 | pre
Ep  23800 | loss 0.0000/18.9504 | acc 1.000/0.008 | pre
Ep  23900 | loss 0.0000/18.9472 | acc 1.000/0.008 | pre
Ep  24000 | loss 0.0000/18.9446 | acc 1.000/0.008 | pre
Ep  24100 | loss 0.0000/18.9425 | acc 1.000/0.008 | pre
Ep  24200 | loss 0.0000/18.9388 | acc 1.000/0.008 | pre
Ep  24300 | loss 0.0000/18.9341 | acc 1.000/0.008 | pre
Ep  24400 | loss 0.0000/18.9306 | acc 1.000/0.008 | pre
Ep  24500 | loss 0.0000/18.9263 | acc 1.000/0.008 | pre
Ep  24600 | loss 0.0000/18.9225 | acc 1.000/0.008 | pre
Ep  24700 | loss 0.0000/18.9187 | acc 1.000/0.008 | pre
Ep  24800 | loss 0.0000/18.9148 | acc 1.000/0.008 | pre
Ep  24900 | loss 0.0000/18.9115 | acc 1.000/0.008 | pre
Ep  25000 | loss 0.0000/18.9081 | acc 1.000/0.008 | pre
Ep  25100 | loss 0.0000/18.9057 | acc 1.000/0.008 | pre
Ep  25200 | loss 0.0000/18.9038 | acc 1.000/0.008 | pre
Ep  25300 | loss 0.0000/18.9017 | acc 1.000/0.008 | pre
Ep  25400 | loss 0.0000/18.8994 | acc 1.000/0.008 | pre
Ep  25500 | loss 0.0000/18.8966 | acc 1.000/0.008 | pre
Ep  25600 | loss 0.0000/18.8937 | acc 1.000/0.008 | pre
Ep  25700 | loss 0.0000/18.8908 | acc 1.000/0.008 | pre
Ep  25800 | loss 0.0000/18.8876 | acc 1.000/0.007 | pre
Ep  25900 | loss 0.0000/18.8841 | acc 1.000/0.007 | pre
Ep  26000 | loss 0.0000/18.8803 | acc 1.000/0.008 | pre
Ep  26100 | loss 0.0000/18.8770 | acc 1.000/0.007 | pre
Ep  26200 | loss 0.0000/18.8736 | acc 1.000/0.007 | pre
Ep  26300 | loss 0.0000/18.8702 | acc 1.000/0.007 | pre
Ep  26400 | loss 0.0000/18.8674 | acc 1.000/0.007 | pre
Ep  26500 | loss 0.0000/18.8645 | acc 1.000/0.007 | pre
Ep  26600 | loss 0.0000/18.8616 | acc 1.000/0.007 | pre
Ep  26700 | loss 0.0000/18.8580 | acc 1.000/0.008 | pre
Ep  26800 | loss 0.0000/18.8546 | acc 1.000/0.008 | pre
Ep  26900 | loss 0.0000/18.8520 | acc 1.000/0.007 | pre
Ep  27000 | loss 0.0000/18.8498 | acc 1.000/0.007 | pre
Ep  27100 | loss 0.0000/18.8478 | acc 1.000/0.008 | pre
Ep  27200 | loss 0.0000/18.8439 | acc 1.000/0.008 | pre
Ep  27300 | loss 0.0000/18.8405 | acc 1.000/0.008 | pre
Ep  27400 | loss 0.0000/18.8381 | acc 1.000/0.008 | pre
Ep  27500 | loss 0.0000/18.8362 | acc 1.000/0.008 | pre
Ep  27600 | loss 0.0000/18.8341 | acc 1.000/0.008 | pre
Ep  27700 | loss 0.0000/18.8321 | acc 1.000/0.008 | pre
Ep  27800 | loss 0.0000/18.8283 | acc 1.000/0.008 | pre
Ep  27900 | loss 0.0000/18.8259 | acc 1.000/0.007 | pre
Ep  28000 | loss 0.0000/18.8243 | acc 1.000/0.007 | pre
Ep  28100 | loss 0.0000/18.8221 | acc 1.000/0.007 | pre
Ep  28200 | loss 0.0000/18.8193 | acc 1.000/0.007 | pre
Ep  28300 | loss 0.0000/18.8170 | acc 1.000/0.007 | pre
Ep  28400 | loss 0.0000/18.8151 | acc 1.000/0.008 | pre
Ep  28500 | loss 0.0000/18.8136 | acc 1.000/0.008 | pre
Ep  28600 | loss 0.0000/18.8113 | acc 1.000/0.007 | pre
Ep  28700 | loss 0.0000/18.8089 | acc 1.000/0.007 | pre
Ep  28800 | loss 0.0000/18.8066 | acc 1.000/0.007 | pre
Ep  28900 | loss 0.0000/18.8044 | acc 1.000/0.007 | pre
Ep  29000 | loss 0.0000/18.8024 | acc 1.000/0.007 | pre
Ep  29100 | loss 0.0000/18.8002 | acc 1.000/0.008 | pre
Ep  29200 | loss 0.0000/18.7978 | acc 1.000/0.008 | pre
Ep  29300 | loss 0.0000/18.7950 | acc 1.000/0.008 | pre
Ep  29400 | loss 0.0000/18.7921 | acc 1.000/0.008 | pre
Ep  29500 | loss 0.0000/18.7887 | acc 1.000/0.007 | pre
Ep  29600 | loss 0.0000/18.7862 | acc 1.000/0.007 | pre
Ep  29700 | loss 0.0000/18.7849 | acc 1.000/0.007 | pre
Ep  29800 | loss 0.0000/18.7825 | acc 1.000/0.007 | pre
Ep  29900 | loss 0.0000/18.7808 | acc 1.000/0.008 | pre
Ep  30000 | loss 0.0000/18.7792 | acc 1.000/0.008 | pre
Ep  30100 | loss 0.0000/18.7773 | acc 1.000/0.008 | pre
Ep  30200 | loss 0.0000/18.7758 | acc 1.000/0.008 | pre
Ep  30300 | loss 0.0000/18.7738 | acc 1.000/0.008 | pre
Ep  30400 | loss 0.0000/18.7720 | acc 1.000/0.007 | pre
Ep  30500 | loss 0.0000/18.7698 | acc 1.000/0.007 | pre
Ep  30600 | loss 0.0000/18.7681 | acc 1.000/0.007 | pre
Ep  30700 | loss 0.0000/18.7666 | acc 1.000/0.007 | pre
Ep  30800 | loss 0.0000/18.7647 | acc 1.000/0.007 | pre
Ep  30900 | loss 0.0000/18.7624 | acc 1.000/0.007 | pre
Ep  31000 | loss 0.0000/18.7596 | acc 1.000/0.007 | pre
Ep  31100 | loss 0.0000/18.7563 | acc 1.000/0.007 | pre
Ep  31200 | loss 0.0000/18.7536 | acc 1.000/0.007 | pre
Ep  31300 | loss 0.0000/18.7517 | acc 1.000/0.008 | pre
Ep  31400 | loss 0.0000/18.7502 | acc 1.000/0.007 | pre
Ep  31500 | loss 0.0000/18.7481 | acc 1.000/0.007 | pre
Ep  31600 | loss 0.0000/18.7458 | acc 1.000/0.007 | pre
Ep  31700 | loss 0.0000/18.7437 | acc 1.000/0.007 | pre
Ep  31800 | loss 0.0000/18.7420 | acc 1.000/0.007 | pre
Ep  31900 | loss 0.0000/18.7398 | acc 1.000/0.007 | pre
Ep  32000 | loss 0.0000/18.7374 | acc 1.000/0.007 | pre
Ep  32100 | loss 0.0000/18.7348 | acc 1.000/0.007 | pre
Ep  32200 | loss 0.0000/18.7333 | acc 1.000/0.008 | pre
Ep  32300 | loss 0.0000/18.7319 | acc 1.000/0.008 | pre
Ep  32400 | loss 0.0000/18.7304 | acc 1.000/0.007 | pre
Ep  32500 | loss 0.0000/18.7290 | acc 1.000/0.008 | pre
Ep  32600 | loss 0.0000/18.7274 | acc 1.000/0.008 | pre
Ep  32700 | loss 0.0000/18.7252 | acc 1.000/0.008 | pre
Ep  32800 | loss 0.0000/18.7225 | acc 1.000/0.008 | pre
Ep  32900 | loss 0.0000/18.7195 | acc 1.000/0.008 | pre
Ep  33000 | loss 0.0000/18.7161 | acc 1.000/0.008 | pre
Ep  33100 | loss 0.0000/18.7124 | acc 1.000/0.007 | pre
Ep  33200 | loss 0.0000/18.7092 | acc 1.000/0.007 | pre
Ep  33300 | loss 0.0000/18.7067 | acc 1.000/0.007 | pre
Ep  33400 | loss 0.0000/18.7050 | acc 1.000/0.007 | pre
Ep  33500 | loss 0.0000/18.7033 | acc 1.000/0.008 | pre
Ep  33600 | loss 0.0000/18.7014 | acc 1.000/0.008 | pre
Ep  33700 | loss 0.0000/18.6994 | acc 1.000/0.008 | pre
Ep  33800 | loss 0.0000/18.6974 | acc 1.000/0.008 | pre
Ep  33900 | loss 0.0000/18.6955 | acc 1.000/0.008 | pre
Ep  34000 | loss 0.0000/18.6937 | acc 1.000/0.008 | pre
Ep  34100 | loss 0.0000/18.6915 | acc 1.000/0.008 | pre
Ep  34200 | loss 0.0000/18.6892 | acc 1.000/0.008 | pre
Ep  34300 | loss 0.0000/18.6868 | acc 1.000/0.008 | pre
Ep  34400 | loss 0.0000/18.6850 | acc 1.000/0.008 | pre
Ep  34500 | loss 0.0000/18.6831 | acc 1.000/0.008 | pre
Ep  34600 | loss 0.0000/18.6807 | acc 1.000/0.008 | pre
Ep  34700 | loss 0.0000/18.6789 | acc 1.000/0.007 | pre
Ep  34800 | loss 0.0000/18.6773 | acc 1.000/0.008 | pre
Ep  34900 | loss 0.0000/18.6758 | acc 1.000/0.008 | pre
Ep  35000 | loss 0.0000/18.6743 | acc 1.000/0.008 | pre
Ep  35100 | loss 0.0000/18.6724 | acc 1.000/0.008 | pre
Ep  35200 | loss 0.0000/18.6700 | acc 1.000/0.008 | pre
Ep  35300 | loss 0.0000/18.6680 | acc 1.000/0.008 | pre
Ep  35400 | loss 0.0000/18.6662 | acc 1.000/0.008 | pre
Ep  35500 | loss 0.0000/18.6640 | acc 1.000/0.008 | pre
Ep  35600 | loss 0.0000/18.6618 | acc 1.000/0.008 | pre
Ep  35700 | loss 0.0000/18.6601 | acc 1.000/0.008 | pre
Ep  35800 | loss 0.0000/18.6592 | acc 1.000/0.008 | pre
Ep  35900 | loss 0.0000/18.6587 | acc 1.000/0.008 | pre
Ep  36000 | loss 0.0000/18.6577 | acc 1.000/0.008 | pre
Ep  36100 | loss 0.0000/18.6559 | acc 1.000/0.008 | pre
Ep  36200 | loss 0.0000/18.6537 | acc 1.000/0.008 | pre
Ep  36300 | loss 0.0000/18.6514 | acc 1.000/0.008 | pre
Ep  36400 | loss 0.0000/18.6490 | acc 1.000/0.008 | pre
Ep  36500 | loss 0.0000/18.6462 | acc 1.000/0.008 | pre
