C:\Projects\Programming\6700\grok\grok_impl\metrics.py:404: UserWarning: torch.linalg.svd: During SVD computation with the selected cusolver driver, batches 0 failed to converge. A more accurate method will be used to compute the SVD as a fallback. Check doc at https://pytorch.org/docs/stable/generated/torch.linalg.svd.html (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\cuda\linalg\BatchLinearAlgebraLib.cpp:696.)
  S = torch.linalg.svdvals(acts_c)
Task: multiply mod 113
Model: transformer  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep  10400 | loss 0.0000/22.1049 | acc 1.000/0.260 | pre
Ep  10500 | loss 0.0000/22.2658 | acc 1.000/0.260 | pre
Ep  10600 | loss 0.0000/22.1125 | acc 1.000/0.257 | pre
Ep  10700 | loss 0.0000/21.7253 | acc 1.000/0.257 | pre
Ep  10800 | loss 0.0000/21.6782 | acc 1.000/0.257 | pre
Ep  10900 | loss 0.0006/14.7948 | acc 1.000/0.251 | pre
Ep  11000 | loss 0.0082/9.6574 | acc 1.000/0.258 | pre
Ep  11100 | loss 0.0056/10.0052 | acc 1.000/0.260 | pre
Ep  11200 | loss 0.0022/11.1128 | acc 1.000/0.261 | pre
Ep  11300 | loss 0.0008/12.2891 | acc 1.000/0.262 | pre
Ep  11400 | loss 0.0003/13.4994 | acc 1.000/0.262 | pre
Ep  11500 | loss 0.0001/14.7227 | acc 1.000/0.262 | pre
Ep  11600 | loss 0.0000/15.9408 | acc 1.000/0.262 | pre
Ep  11700 | loss 0.0000/17.1297 | acc 1.000/0.262 | pre
Ep  11800 | loss 0.0000/18.2658 | acc 1.000/0.262 | pre
Ep  11900 | loss 0.0000/19.2936 | acc 1.000/0.262 | pre
Ep  12000 | loss 0.0000/20.1407 | acc 1.000/0.261 | pre
Ep  12100 | loss 0.0000/20.7227 | acc 1.000/0.261 | pre
Ep  12200 | loss 0.0000/21.0445 | acc 1.000/0.260 | pre
Ep  12300 | loss 0.0000/21.0645 | acc 1.000/0.259 | pre
Ep  12400 | loss 0.0000/20.7510 | acc 1.000/0.258 | pre
Ep  12500 | loss 0.0008/14.1423 | acc 1.000/0.253 | pre
Ep  12600 | loss 0.0107/8.9454 | acc 1.000/0.261 | pre
Ep  12700 | loss 0.0097/8.9274 | acc 1.000/0.262 | pre
Ep  12800 | loss 0.0038/9.9219 | acc 1.000/0.264 | pre
Ep  12900 | loss 0.0014/10.9918 | acc 1.000/0.263 | pre
Ep  13000 | loss 0.0005/12.0925 | acc 1.000/0.265 | pre
Ep  13100 | loss 0.0002/13.2090 | acc 1.000/0.265 | pre
Ep  13200 | loss 0.0001/14.3224 | acc 1.000/0.264 | pre
Ep  13300 | loss 0.0000/15.4196 | acc 1.000/0.264 | pre
Ep  13400 | loss 0.0000/16.4776 | acc 1.000/0.264 | pre
Ep  13500 | loss 0.0000/17.4574 | acc 1.000/0.265 | pre
Ep  13600 | loss 0.0000/18.3013 | acc 1.000/0.265 | pre
Ep  13700 | loss 0.0000/18.9362 | acc 1.000/0.265 | pre
Ep  13800 | loss 0.0000/19.3286 | acc 1.000/0.265 | pre
Ep  13900 | loss 0.0000/19.4975 | acc 1.000/0.263 | pre
Ep  14000 | loss 0.0000/19.3619 | acc 1.000/0.260 | pre
Ep  14100 | loss 0.0004/13.7946 | acc 1.000/0.258 | pre
Ep  14200 | loss 0.0057/8.8244 | acc 1.000/0.266 | pre
Ep  14300 | loss 0.0040/9.0190 | acc 1.000/0.267 | pre
Ep  14400 | loss 0.0016/9.9534 | acc 1.000/0.268 | pre
Ep  14500 | loss 0.0006/10.9532 | acc 1.000/0.269 | pre
Ep  14600 | loss 0.0002/11.9727 | acc 1.000/0.269 | pre
Ep  14700 | loss 0.0001/12.9904 | acc 1.000/0.269 | pre
Ep  14800 | loss 0.0000/13.9876 | acc 1.000/0.270 | pre
Ep  14900 | loss 0.0000/14.9440 | acc 1.000/0.270 | pre
Ep  15000 | loss 0.0000/15.8269 | acc 1.000/0.270 | pre
Ep  15100 | loss 0.0000/16.5773 | acc 1.000/0.270 | pre
Ep  15200 | loss 0.0000/17.1226 | acc 1.000/0.270 | pre
Ep  15300 | loss 0.0000/17.4164 | acc 1.000/0.269 | pre
Ep  15400 | loss 0.0000/17.4814 | acc 1.000/0.269 | pre
Ep  15500 | loss 0.0000/17.3094 | acc 1.000/0.267 | pre
Ep  15600 | loss 0.0007/11.7785 | acc 1.000/0.262 | pre
Ep  15700 | loss 0.0055/7.8668 | acc 1.000/0.272 | pre
Ep  15800 | loss 0.0034/8.1701 | acc 1.000/0.274 | pre
Ep  15900 | loss 0.0013/9.0226 | acc 1.000/0.275 | pre
Ep  16000 | loss 0.0005/9.9111 | acc 1.000/0.277 | pre
Ep  16100 | loss 0.0002/10.7912 | acc 1.000/0.277 | pre
Ep  16200 | loss 0.0001/11.6463 | acc 1.000/0.278 | pre
Ep  16300 | loss 0.0000/12.4655 | acc 1.000/0.280 | pre
Ep  16400 | loss 0.0000/13.2211 | acc 1.000/0.282 | pre
Ep  16500 | loss 0.0000/13.8782 | acc 1.000/0.284 | pre
Ep  16600 | loss 0.0000/14.3885 | acc 1.000/0.285 | pre
