Task: multiply mod 113
Model: mlp  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep  13000 | loss 0.0000/4.2815 | acc 1.000/0.270 | transition
Ep  13100 | loss 0.0000/4.1020 | acc 1.000/0.284 | transition
Ep  13200 | loss 0.0000/3.9277 | acc 1.000/0.300 | transition
Ep  13300 | loss 0.0000/3.7570 | acc 1.000/0.317 | transition
Ep  13400 | loss 0.0000/3.5896 | acc 1.000/0.335 | transition
Ep  13500 | loss 0.0000/3.4253 | acc 1.000/0.348 | transition
Ep  13600 | loss 0.0000/3.2607 | acc 1.000/0.367 | transition
Ep  13700 | loss 0.0000/3.0976 | acc 1.000/0.390 | transition
Ep  13800 | loss 0.0000/2.9367 | acc 1.000/0.411 | transition
Ep  13900 | loss 0.0000/2.7793 | acc 1.000/0.432 | transition
Ep  14000 | loss 0.0000/2.6247 | acc 1.000/0.452 | transition
Ep  14100 | loss 0.0000/2.4738 | acc 1.000/0.470 | transition
Ep  14200 | loss 0.0000/2.3287 | acc 1.000/0.490 | transition
Ep  14300 | loss 0.0000/2.1897 | acc 1.000/0.512 | transition
Ep  14400 | loss 0.0000/2.0533 | acc 1.000/0.533 | transition
Ep  14500 | loss 0.0000/1.9219 | acc 1.000/0.557 | transition
Ep  14600 | loss 0.0000/1.7965 | acc 1.000/0.579 | transition
Ep  14700 | loss 0.0000/1.6759 | acc 1.000/0.600 | transition
Ep  14800 | loss 0.0000/1.5606 | acc 1.000/0.620 | transition
Ep  14900 | loss 0.0000/1.4488 | acc 1.000/0.640 | transition
Ep  15000 | loss 0.0000/1.3419 | acc 1.000/0.662 | transition
Ep  15100 | loss 0.0000/1.2409 | acc 1.000/0.681 | transition
Ep  15200 | loss 0.0000/1.1428 | acc 1.000/0.700 | transition
Ep  15300 | loss 0.0000/1.0506 | acc 1.000/0.719 | transition
Ep  15400 | loss 0.0000/0.9629 | acc 1.000/0.738 | transition
Ep  15500 | loss 0.0000/0.8814 | acc 1.000/0.759 | transition
Ep  15600 | loss 0.0000/0.8060 | acc 1.000/0.779 | transition
Ep  15700 | loss 0.0000/0.7358 | acc 1.000/0.795 | transition
Ep  15800 | loss 0.0000/0.6709 | acc 1.000/0.812 | transition
Ep  15900 | loss 0.0000/0.6103 | acc 1.000/0.827 | transition
Ep  16000 | loss 0.0000/0.5549 | acc 1.000/0.842 | transition
Ep  16100 | loss 0.0000/0.5039 | acc 1.000/0.856 | transition
Ep  16200 | loss 0.0000/0.4565 | acc 1.000/0.870 | transition
Ep  16300 | loss 0.0000/0.4116 | acc 1.000/0.881 | transition
Ep  16400 | loss 0.0000/0.3694 | acc 1.000/0.893 | transition
Ep  16500 | loss 0.0000/0.3302 | acc 1.000/0.904 | transition
Ep  16600 | loss 0.0000/0.2936 | acc 1.000/0.915 | transition
Ep  16700 | loss 0.0000/0.2590 | acc 1.000/0.924 | transition
Ep  16800 | loss 0.0000/0.2277 | acc 1.000/0.934 | transition
Ep  16900 | loss 0.0000/0.1998 | acc 1.000/0.942 | transition
Ep  17000 | loss 0.0000/0.1752 | acc 1.000/0.949 | pre
Ep  17100 | loss 0.0000/0.1536 | acc 1.000/0.955 | pre
Ep  17200 | loss 0.0000/0.1343 | acc 1.000/0.960 | pre
Ep  17300 | loss 0.0000/0.1172 | acc 1.000/0.966 | pre
Ep  17400 | loss 0.0000/0.1021 | acc 1.000/0.970 | post
Ep  17500 | loss 0.0000/0.0888 | acc 1.000/0.973 | post
Ep  17600 | loss 0.0000/0.0774 | acc 1.000/0.976 | post
Ep  17700 | loss 0.0000/0.0673 | acc 1.000/0.979 | post
Ep  17800 | loss 0.0000/0.0585 | acc 1.000/0.983 | post
Ep  17900 | loss 0.0000/0.0507 | acc 1.000/0.985 | post
Ep  18000 | loss 0.0000/0.0437 | acc 1.000/0.987 | post
Ep  18100 | loss 0.0000/0.0375 | acc 1.000/0.989 | post
