C:\Projects\Programming\6700\grok\grok_impl\metrics.py:404: UserWarning: torch.linalg.svd: During SVD computation with the selected cusolver driver, batches 0 failed to converge. A more accurate method will be used to compute the SVD as a fallback. Check doc at https://pytorch.org/docs/stable/generated/torch.linalg.svd.html (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\cuda\linalg\BatchLinearAlgebraLib.cpp:696.)
  S = torch.linalg.svdvals(acts_c)
Task: x3xy2y mod 113
Model: transformer  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep  14300 | loss 0.0420/29.6239 | acc 0.986/0.010 | pre
Ep  14400 | loss 0.0034/16.2222 | acc 1.000/0.009 | pre
Ep  14500 | loss 0.0147/12.6289 | acc 1.000/0.010 | pre
Ep  14600 | loss 0.0067/14.0342 | acc 1.000/0.009 | pre
Ep  14700 | loss 0.0025/15.7917 | acc 1.000/0.009 | pre
Ep  14800 | loss 0.0009/17.6283 | acc 1.000/0.009 | pre
Ep  14900 | loss 0.0003/19.4951 | acc 1.000/0.009 | pre
Ep  15000 | loss 0.0001/21.3680 | acc 1.000/0.009 | pre
Ep  15100 | loss 0.0000/23.2317 | acc 1.000/0.010 | pre
Ep  15200 | loss 0.0000/25.0611 | acc 1.000/0.010 | pre
Ep  15300 | loss 0.0000/26.8141 | acc 1.000/0.009 | pre
Ep  15400 | loss 0.0000/28.4143 | acc 1.000/0.009 | pre
Ep  15500 | loss 0.0000/29.7546 | acc 1.000/0.009 | pre
Ep  15600 | loss 0.0000/30.6894 | acc 1.000/0.009 | pre
Ep  15700 | loss 0.0000/31.0828 | acc 1.000/0.009 | pre
Ep  15800 | loss 0.0000/30.9422 | acc 1.000/0.010 | pre
Ep  15900 | loss 0.0000/30.5500 | acc 1.000/0.009 | pre
Ep  16000 | loss 0.0000/30.2677 | acc 1.000/0.009 | pre
Ep  16100 | loss 0.0000/30.2017 | acc 1.000/0.009 | pre
Ep  16200 | loss 0.0000/30.1177 | acc 1.000/0.008 | pre
Ep  16300 | loss 0.0007/21.0059 | acc 1.000/0.009 | pre
Ep  16400 | loss 0.0108/13.1401 | acc 1.000/0.008 | pre
Ep  16500 | loss 0.0113/12.9616 | acc 1.000/0.009 | pre
Ep  16600 | loss 0.0045/14.5964 | acc 1.000/0.009 | pre
Ep  16700 | loss 0.0017/16.3588 | acc 1.000/0.008 | pre
Ep  16800 | loss 0.0006/18.1809 | acc 1.000/0.009 | pre
Ep  16900 | loss 0.0002/20.0324 | acc 1.000/0.009 | pre
Ep  17000 | loss 0.0001/21.8923 | acc 1.000/0.009 | pre
Ep  17100 | loss 0.0000/23.7372 | acc 1.000/0.009 | pre
Ep  17200 | loss 0.0000/25.5379 | acc 1.000/0.009 | pre
Ep  17300 | loss 0.0000/27.2314 | acc 1.000/0.009 | pre
Ep  17400 | loss 0.0000/28.7362 | acc 1.000/0.009 | pre
Ep  17500 | loss 0.0000/29.9285 | acc 1.000/0.009 | pre
Ep  17600 | loss 0.0000/30.6832 | acc 1.000/0.009 | pre
Ep  17700 | loss 0.0000/30.9421 | acc 1.000/0.009 | pre
Ep  17800 | loss 0.0204/31.5414 | acc 0.994/0.009 | pre
Ep  17900 | loss 0.0013/17.5918 | acc 1.000/0.008 | pre
Ep  18000 | loss 0.0034/14.8596 | acc 1.000/0.009 | pre
Ep  18100 | loss 0.0014/16.5171 | acc 1.000/0.008 | pre
Ep  18200 | loss 0.0005/18.3331 | acc 1.000/0.009 | pre
Ep  18300 | loss 0.0002/20.1848 | acc 1.000/0.009 | pre
Ep  18400 | loss 0.0001/22.0429 | acc 1.000/0.009 | pre
Ep  18500 | loss 0.0000/23.8860 | acc 1.000/0.009 | pre
Ep  18600 | loss 0.0000/25.6791 | acc 1.000/0.009 | pre
Ep  18700 | loss 0.0000/27.3593 | acc 1.000/0.009 | pre
Ep  18800 | loss 0.0000/28.8397 | acc 1.000/0.009 | pre
Ep  18900 | loss 0.0000/29.9662 | acc 1.000/0.008 | pre
Ep  19000 | loss 0.0000/30.6150 | acc 1.000/0.009 | pre
Ep  19100 | loss 0.0000/30.7471 | acc 1.000/0.008 | pre
Ep  19200 | loss 0.0000/30.2806 | acc 1.000/0.009 | pre
Ep  19300 | loss 0.0000/30.1741 | acc 1.000/0.009 | pre
Ep  19400 | loss 0.0017/18.1092 | acc 1.000/0.009 | pre
Ep  19500 | loss 0.0164/12.3121 | acc 1.000/0.009 | pre
Ep  19600 | loss 0.0104/13.0091 | acc 1.000/0.009 | pre
Ep  19700 | loss 0.0041/14.6185 | acc 1.000/0.009 | pre
Ep  19800 | loss 0.0015/16.3374 | acc 1.000/0.009 | pre
Ep  19900 | loss 0.0005/18.1107 | acc 1.000/0.008 | pre
Ep  20000 | loss 0.0002/19.9112 | acc 1.000/0.009 | pre
Ep  20100 | loss 0.0001/21.7234 | acc 1.000/0.008 | pre
Ep  20200 | loss 0.0000/23.5243 | acc 1.000/0.009 | pre
Ep  20300 | loss 0.0000/25.2826 | acc 1.000/0.009 | pre
Ep  20400 | loss 0.0000/26.9394 | acc 1.000/0.009 | pre
Ep  20500 | loss 0.0000/28.4169 | acc 1.000/0.009 | pre
Ep  20600 | loss 0.0000/29.5956 | acc 1.000/0.009 | pre
Ep  20700 | loss 0.0000/30.3517 | acc 1.000/0.009 | pre
Ep  20800 | loss 0.0000/30.6399 | acc 1.000/0.009 | pre
Ep  20900 | loss 0.0000/30.3401 | acc 1.000/0.009 | pre
Ep  21000 | loss 0.0011/18.8896 | acc 1.000/0.009 | pre
Ep  21100 | loss 0.0102/13.0146 | acc 1.000/0.009 | pre
Ep  21200 | loss 0.0057/13.9879 | acc 1.000/0.009 | pre
Ep  21300 | loss 0.0022/15.6959 | acc 1.000/0.009 | pre
Ep  21400 | loss 0.0008/17.4951 | acc 1.000/0.009 | pre
Ep  21500 | loss 0.0003/19.3319 | acc 1.000/0.009 | pre
Ep  21600 | loss 0.0001/21.1879 | acc 1.000/0.009 | pre
Ep  21700 | loss 0.0000/23.0371 | acc 1.000/0.009 | pre
Ep  21800 | loss 0.0000/24.8505 | acc 1.000/0.008 | pre
Ep  21900 | loss 0.0000/26.5820 | acc 1.000/0.008 | pre
Ep  22000 | loss 0.0000/28.1600 | acc 1.000/0.008 | pre
Ep  22100 | loss 0.0000/29.4711 | acc 1.000/0.008 | pre
Ep  22200 | loss 0.0000/30.3880 | acc 1.000/0.008 | pre
Ep  22300 | loss 0.0000/30.7679 | acc 1.000/0.008 | pre
Ep  22400 | loss 0.0000/30.5977 | acc 1.000/0.009 | pre
Ep  22500 | loss 0.0010/19.0408 | acc 1.000/0.009 | pre
Ep  22600 | loss 0.0088/13.2743 | acc 1.000/0.008 | pre
Ep  22700 | loss 0.0047/14.3082 | acc 1.000/0.008 | pre
Ep  22800 | loss 0.0018/15.9949 | acc 1.000/0.009 | pre
Ep  22900 | loss 0.0007/17.7742 | acc 1.000/0.009 | pre
Ep  23000 | loss 0.0002/19.5946 | acc 1.000/0.008 | pre
Ep  23100 | loss 0.0001/21.4271 | acc 1.000/0.008 | pre
Ep  23200 | loss 0.0000/23.2484 | acc 1.000/0.008 | pre
Ep  23300 | loss 0.0000/25.0343 | acc 1.000/0.008 | pre
Ep  23400 | loss 0.0000/26.7307 | acc 1.000/0.008 | pre
Ep  23500 | loss 0.0000/28.2675 | acc 1.000/0.008 | pre
Ep  23600 | loss 0.0000/29.5162 | acc 1.000/0.008 | pre
Ep  23700 | loss 0.0000/30.3621 | acc 1.000/0.008 | pre
