Task: add mod 113
Model: mlp  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep  15600 | loss 0.0000/0.1118 | acc 1.000/0.966 | pre
Ep  15700 | loss 0.0000/0.0955 | acc 1.000/0.972 | post
Ep  15800 | loss 0.0000/0.0816 | acc 1.000/0.976 | post
Ep  15900 | loss 0.0000/0.0698 | acc 1.000/0.980 | post
Ep  16000 | loss 0.0000/0.0599 | acc 1.000/0.983 | post
Ep  16100 | loss 0.0000/0.0513 | acc 1.000/0.986 | post
Ep  16200 | loss 0.0000/0.0440 | acc 1.000/0.988 | post
Ep  16300 | loss 0.0000/0.0378 | acc 1.000/0.990 | post
Ep  16400 | loss 0.0000/0.0326 | acc 1.000/0.992 | post
Ep  16500 | loss 0.0000/0.0282 | acc 1.000/0.993 | post
Ep  16600 | loss 0.0000/0.0245 | acc 1.000/0.994 | post
Ep  16700 | loss 0.0000/0.0214 | acc 1.000/0.995 | post
Ep  16800 | loss 0.0000/0.0187 | acc 1.000/0.995 | post
Ep  16900 | loss 0.0000/0.0164 | acc 1.000/0.996 | post
Ep  17000 | loss 0.0000/0.0144 | acc 1.000/0.997 | post
Ep  17100 | loss 0.0000/0.0126 | acc 1.000/0.997 | post
Ep  17200 | loss 0.0000/0.0111 | acc 1.000/0.998 | post
Ep  17300 | loss 0.0000/0.0097 | acc 1.000/0.998 | post
Ep  17400 | loss 0.0000/0.0086 | acc 1.000/0.998 | post
Ep  17500 | loss 0.0000/0.0076 | acc 1.000/0.999 | post
Ep  17600 | loss 0.0000/0.0066 | acc 1.000/0.999 | post
Ep  17700 | loss 0.0000/0.0058 | acc 1.000/0.999 | post
Ep  17800 | loss 0.0000/0.0051 | acc 1.000/0.999 | post
Grokking complete — stopping early.

Results saved to results\mlp_add/
Final test accuracy: 0.9992
Grokking onset (test_acc >= 0.95): epoch 15400
