C:\Projects\Programming\6700\grok\grok_impl\metrics.py:404: UserWarning: torch.linalg.svd: During SVD computation with the selected cusolver driver, batches 0 failed to converge. A more accurate method will be used to compute the SVD as a fallback. Check doc at https://pytorch.org/docs/stable/generated/torch.linalg.svd.html (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\cuda\linalg\BatchLinearAlgebraLib.cpp:696.)
  S = torch.linalg.svdvals(acts_c)
Task: add mod 113
Model: transformer  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep   9800 | loss 0.0000/18.6133 | acc 1.000/0.277 | pre
Ep   9900 | loss 0.0000/19.4539 | acc 1.000/0.277 | pre
Ep  10000 | loss 0.0000/20.0169 | acc 1.000/0.276 | pre
Ep  10100 | loss 0.0000/20.2677 | acc 1.000/0.276 | pre
Ep  10200 | loss 0.0000/20.1762 | acc 1.000/0.275 | pre
Ep  10300 | loss 0.0000/19.9064 | acc 1.000/0.277 | pre
Ep  10400 | loss 0.0003/13.9245 | acc 1.000/0.274 | pre
Ep  10500 | loss 0.0037/9.5035 | acc 1.000/0.277 | pre
Ep  10600 | loss 0.0019/10.1286 | acc 1.000/0.277 | pre
Ep  10700 | loss 0.0007/11.1574 | acc 1.000/0.278 | pre
Ep  10800 | loss 0.0003/12.2187 | acc 1.000/0.278 | pre
Ep  10900 | loss 0.0001/13.2813 | acc 1.000/0.278 | pre
Ep  11000 | loss 0.0000/14.3254 | acc 1.000/0.279 | pre
Ep  11100 | loss 0.0000/15.3241 | acc 1.000/0.278 | pre
Ep  11200 | loss 0.0000/16.2503 | acc 1.000/0.279 | pre
Ep  11300 | loss 0.0000/17.0528 | acc 1.000/0.278 | pre
Ep  11400 | loss 0.0000/17.6504 | acc 1.000/0.279 | pre
Ep  11500 | loss 0.0000/17.9770 | acc 1.000/0.278 | pre
Ep  11600 | loss 0.0000/18.0035 | acc 1.000/0.280 | pre
Ep  11700 | loss 0.0000/17.7679 | acc 1.000/0.280 | pre
Ep  11800 | loss 0.0018/15.7119 | acc 1.000/0.262 | pre
Ep  11900 | loss 0.0026/8.9364 | acc 1.000/0.283 | pre
Ep  12000 | loss 0.0057/7.8013 | acc 1.000/0.285 | pre
