C:\Projects\Programming\6700\grok\grok_impl\metrics.py:404: UserWarning: torch.linalg.svd: During SVD computation with the selected cusolver driver, batches 0 failed to converge. A more accurate method will be used to compute the SVD as a fallback. Check doc at https://pytorch.org/docs/stable/generated/torch.linalg.svd.html (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\cuda\linalg\BatchLinearAlgebraLib.cpp:696.)
  S = torch.linalg.svdvals(acts_c)
Task: x2xyy2 mod 113
Model: transformer  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep  13400 | loss 0.0000/22.2117 | acc 1.000/0.233 | pre
Ep  13500 | loss 0.0000/22.1881 | acc 1.000/0.234 | pre
Ep  13600 | loss 0.0000/22.1975 | acc 1.000/0.232 | pre
Ep  13700 | loss 0.0015/17.9807 | acc 1.000/0.211 | pre
Ep  13800 | loss 0.0066/10.4056 | acc 1.000/0.231 | pre
Ep  13900 | loss 0.0160/9.0487 | acc 1.000/0.232 | pre
Ep  14000 | loss 0.0066/10.1603 | acc 1.000/0.233 | pre
Ep  14100 | loss 0.0025/11.4227 | acc 1.000/0.234 | pre
Ep  14200 | loss 0.0009/12.7334 | acc 1.000/0.234 | pre
Ep  14300 | loss 0.0003/14.0733 | acc 1.000/0.234 | pre
Ep  14400 | loss 0.0001/15.4261 | acc 1.000/0.233 | pre
Ep  14500 | loss 0.0000/16.7767 | acc 1.000/0.234 | pre
Ep  14600 | loss 0.0000/18.1049 | acc 1.000/0.233 | pre
Ep  14700 | loss 0.0000/19.3794 | acc 1.000/0.233 | pre
Ep  14800 | loss 0.0000/20.5487 | acc 1.000/0.234 | pre
Ep  14900 | loss 0.0000/21.5283 | acc 1.000/0.233 | pre
Ep  15000 | loss 0.0000/22.2305 | acc 1.000/0.232 | pre
Ep  15100 | loss 0.0000/22.6130 | acc 1.000/0.232 | pre
Ep  15200 | loss 0.0000/22.7224 | acc 1.000/0.229 | pre
Ep  15300 | loss 0.0040/20.4012 | acc 1.000/0.197 | pre
Ep  15400 | loss 0.0029/11.5879 | acc 1.000/0.230 | pre
Ep  15500 | loss 0.0059/10.1875 | acc 1.000/0.231 | pre
Ep  15600 | loss 0.0024/11.3996 | acc 1.000/0.231 | pre
Ep  15700 | loss 0.0009/12.7304 | acc 1.000/0.232 | pre
Ep  15800 | loss 0.0003/14.0988 | acc 1.000/0.231 | pre
Ep  15900 | loss 0.0001/15.4815 | acc 1.000/0.229 | pre
Ep  16000 | loss 0.0000/16.8640 | acc 1.000/0.228 | pre
Ep  16100 | loss 0.0000/18.2297 | acc 1.000/0.226 | pre
Ep  16200 | loss 0.0000/19.5450 | acc 1.000/0.226 | pre
Ep  16300 | loss 0.0000/20.7531 | acc 1.000/0.224 | pre
Ep  16400 | loss 0.0000/21.7689 | acc 1.000/0.222 | pre
Ep  16500 | loss 0.0000/22.4702 | acc 1.000/0.221 | pre
Ep  16600 | loss 0.0000/22.8306 | acc 1.000/0.220 | pre
Ep  16700 | loss 0.0000/22.8956 | acc 1.000/0.219 | pre
Ep  16800 | loss 0.0000/22.9507 | acc 1.000/0.210 | pre
Ep  16900 | loss 0.0010/13.3784 | acc 1.000/0.219 | pre
Ep  17000 | loss 0.0041/10.6927 | acc 1.000/0.227 | pre
Ep  17100 | loss 0.0016/11.8552 | acc 1.000/0.227 | pre
Ep  17200 | loss 0.0006/13.1738 | acc 1.000/0.227 | pre
Ep  17300 | loss 0.0002/14.5333 | acc 1.000/0.226 | pre
Ep  17400 | loss 0.0001/15.9073 | acc 1.000/0.227 | pre
Ep  17500 | loss 0.0000/17.2753 | acc 1.000/0.227 | pre
Ep  17600 | loss 0.0000/18.6215 | acc 1.000/0.228 | pre
Ep  17700 | loss 0.0000/19.8996 | acc 1.000/0.227 | pre
Ep  17800 | loss 0.0000/21.0473 | acc 1.000/0.227 | pre
Ep  17900 | loss 0.0000/21.9506 | acc 1.000/0.226 | pre
Ep  18000 | loss 0.0000/22.5303 | acc 1.000/0.224 | pre
Ep  18100 | loss 0.0000/22.7625 | acc 1.000/0.222 | pre
Ep  18200 | loss 0.0000/22.7228 | acc 1.000/0.220 | pre
Ep  18300 | loss 0.0007/18.6022 | acc 1.000/0.207 | pre
Ep  18400 | loss 0.0049/10.7598 | acc 1.000/0.220 | pre
Ep  18500 | loss 0.0099/9.5860 | acc 1.000/0.224 | pre
Ep  18600 | loss 0.0040/10.7491 | acc 1.000/0.224 | pre
Ep  18700 | loss 0.0015/12.0277 | acc 1.000/0.225 | pre
Ep  18800 | loss 0.0005/13.3583 | acc 1.000/0.224 | pre
Ep  18900 | loss 0.0002/14.7163 | acc 1.000/0.223 | pre
Ep  19000 | loss 0.0001/16.0820 | acc 1.000/0.223 | pre
Ep  19100 | loss 0.0000/17.4437 | acc 1.000/0.224 | pre
Ep  19200 | loss 0.0000/18.7748 | acc 1.000/0.223 | pre
Ep  19300 | loss 0.0000/20.0283 | acc 1.000/0.222 | pre
Ep  19400 | loss 0.0000/21.1441 | acc 1.000/0.221 | pre
Ep  19500 | loss 0.0000/22.0142 | acc 1.000/0.220 | pre
Ep  19600 | loss 0.0000/22.5677 | acc 1.000/0.218 | pre
Ep  19700 | loss 0.0000/22.8040 | acc 1.000/0.215 | pre
Ep  19800 | loss 0.0000/22.5888 | acc 1.000/0.214 | pre
Ep  19900 | loss 0.0699/22.4106 | acc 0.975/0.164 | pre
Ep  20000 | loss 0.0028/11.9572 | acc 1.000/0.217 | pre
Ep  20100 | loss 0.0144/9.1262 | acc 1.000/0.221 | pre
Ep  20200 | loss 0.0065/10.1008 | acc 1.000/0.220 | pre
Ep  20300 | loss 0.0024/11.3418 | acc 1.000/0.220 | pre
Ep  20400 | loss 0.0009/12.6434 | acc 1.000/0.220 | pre
Ep  20500 | loss 0.0003/13.9767 | acc 1.000/0.219 | transition
Ep  20600 | loss 0.0001/15.3246 | acc 1.000/0.220 | pre
Ep  20700 | loss 0.0000/16.6728 | acc 1.000/0.220 | pre
Ep  20800 | loss 0.0000/18.0053 | acc 1.000/0.219 | pre
Ep  20900 | loss 0.0000/19.2892 | acc 1.000/0.220 | pre
Ep  21000 | loss 0.0000/20.4698 | acc 1.000/0.219 | pre
Ep  21100 | loss 0.0000/21.4676 | acc 1.000/0.218 | pre
Ep  21200 | loss 0.0000/22.1846 | acc 1.000/0.216 | pre
Ep  21300 | loss 0.0000/22.5885 | acc 1.000/0.215 | pre
Ep  21400 | loss 0.0000/22.6987 | acc 1.000/0.212 | pre
Ep  21500 | loss 0.0012/19.9327 | acc 1.000/0.194 | pre
Ep  21600 | loss 0.0024/11.5895 | acc 1.000/0.215 | pre
Ep  21700 | loss 0.0037/10.6994 | acc 1.000/0.218 | pre
Ep  21800 | loss 0.0014/11.9591 | acc 1.000/0.218 | pre
Ep  21900 | loss 0.0005/13.3210 | acc 1.000/0.217 | pre
Ep  22000 | loss 0.0002/14.7160 | acc 1.000/0.216 | pre
Ep  22100 | loss 0.0001/16.1217 | acc 1.000/0.216 | pre
Ep  22200 | loss 0.0000/17.5212 | acc 1.000/0.216 | pre
Ep  22300 | loss 0.0000/18.8893 | acc 1.000/0.215 | pre
Ep  22400 | loss 0.0000/20.1810 | acc 1.000/0.214 | pre
Ep  22500 | loss 0.0000/21.3297 | acc 1.000/0.213 | pre
Ep  22600 | loss 0.0000/22.2142 | acc 1.000/0.212 | pre
Ep  22700 | loss 0.0000/22.7434 | acc 1.000/0.210 | pre
Ep  22800 | loss 0.0000/22.9168 | acc 1.000/0.208 | pre
Ep  22900 | loss 0.0000/22.8463 | acc 1.000/0.206 | pre
Ep  23000 | loss 0.0000/22.3695 | acc 1.000/0.207 | pre
Ep  23100 | loss 0.0007/14.0947 | acc 1.000/0.205 | pre
Ep  23200 | loss 0.0043/10.5459 | acc 1.000/0.211 | pre
Ep  23300 | loss 0.0018/11.6251 | acc 1.000/0.211 | pre
Ep  23400 | loss 0.0007/12.9259 | acc 1.000/0.211 | pre
Ep  23500 | loss 0.0002/14.2743 | acc 1.000/0.211 | pre
Ep  23600 | loss 0.0001/15.6418 | acc 1.000/0.210 | pre
Ep  23700 | loss 0.0000/17.0133 | acc 1.000/0.210 | pre
Ep  23800 | loss 0.0000/18.3682 | acc 1.000/0.210 | pre
Ep  23900 | loss 0.0000/19.6635 | acc 1.000/0.209 | pre
Ep  24000 | loss 0.0000/20.8409 | acc 1.000/0.209 | pre
Ep  24100 | loss 0.0000/21.8021 | acc 1.000/0.209 | pre
Ep  24200 | loss 0.0000/22.4574 | acc 1.000/0.207 | pre
Ep  24300 | loss 0.0000/22.7460 | acc 1.000/0.206 | pre
Ep  24400 | loss 0.0000/22.7054 | acc 1.000/0.204 | pre
Ep  24500 | loss 0.0008/14.0861 | acc 1.000/0.207 | pre
Ep  24600 | loss 0.0075/9.9010 | acc 1.000/0.210 | pre
Ep  24700 | loss 0.0038/10.7470 | acc 1.000/0.211 | pre
Ep  24800 | loss 0.0014/12.0392 | acc 1.000/0.213 | pre
Ep  24900 | loss 0.0005/13.3971 | acc 1.000/0.213 | pre
Ep  25000 | loss 0.0002/14.7815 | acc 1.000/0.213 | pre
Ep  25100 | loss 0.0001/16.1728 | acc 1.000/0.213 | pre
Ep  25200 | loss 0.0000/17.5542 | acc 1.000/0.212 | pre
Ep  25300 | loss 0.0000/18.9037 | acc 1.000/0.212 | pre
Ep  25400 | loss 0.0000/20.1726 | acc 1.000/0.211 | pre
Ep  25500 | loss 0.0000/21.2916 | acc 1.000/0.211 | pre
Ep  25600 | loss 0.0000/22.1637 | acc 1.000/0.210 | pre
Ep  25700 | loss 0.0000/22.6864 | acc 1.000/0.210 | pre
