Task: add mod 113
Model: mlp  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep  17200 | loss 0.0000/0.0920 | acc 1.000/0.973 | post
Ep  17300 | loss 0.0000/0.0794 | acc 1.000/0.977 | post
Ep  17400 | loss 0.0000/0.0681 | acc 1.000/0.981 | post
Ep  17500 | loss 0.0000/0.0583 | acc 1.000/0.984 | post
Ep  17600 | loss 0.0000/0.0499 | acc 1.000/0.986 | post
Ep  17700 | loss 0.0000/0.0427 | acc 1.000/0.989 | post
Ep  17800 | loss 0.0000/0.0364 | acc 1.000/0.990 | post
Ep  17900 | loss 0.0000/0.0311 | acc 1.000/0.992 | post
Ep  18000 | loss 0.0000/0.0265 | acc 1.000/0.993 | post
Ep  18100 | loss 0.0000/0.0227 | acc 1.000/0.995 | post
Ep  18200 | loss 0.0000/0.0194 | acc 1.000/0.996 | post
Ep  18300 | loss 0.0000/0.0166 | acc 1.000/0.997 | post
Ep  18400 | loss 0.0000/0.0142 | acc 1.000/0.998 | post
Ep  18500 | loss 0.0000/0.0121 | acc 1.000/0.998 | post
Ep  18600 | loss 0.0000/0.0104 | acc 1.000/0.999 | post
Ep  18700 | loss 0.0000/0.0090 | acc 1.000/0.999 | post
Ep  18800 | loss 0.0000/0.0078 | acc 1.000/0.999 | post
Ep  18900 | loss 0.0000/0.0068 | acc 1.000/0.999 | post
Ep  19000 | loss 0.0000/0.0059 | acc 1.000/0.999 | post
Ep  19100 | loss 0.0000/0.0052 | acc 1.000/0.999 | post
Grokking complete � stopping early.

Results saved to results\add_new/
Final test accuracy: 0.9991
Grokking onset (test_acc >= 0.95): epoch 16800
